rid,country,location_name,latitude,longitude,timezone,last_updated,temperature_celsius,temperature_fahrenheit,condition_label,wind_kph,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,air_quality_Ozone,sunrise,sunset,moonrise,moonset
203.205.158.63-10.42.0.151-80-34810-6,Afghanistan,Kabul,34.52,69.18,Asia/Kabul,29-08-23 14:00,28.8,83.8,0,11.5,19,0,26.7,80.1,130.2,5:24 AM,6:24 PM,5:39 PM,2:48 AM
220.243.219.55-10.42.0.42-80-37086-6,Albania,Tirana,41.33,19.82,Europe/Tirane,29-08-23 11:30,27,80.6,0,6.1,54,75,28,82.3,104.4,6:04 AM,7:19 PM,6:50 PM,3:25 AM
172.217.12.170-10.42.0.42-443-40096-6,Algeria,Algiers,36.76,3.05,Africa/Algiers,29-08-23 10:30,28,82.4,1,13,30,25,27.4,81.3,16.6,6:16 AM,7:21 PM,6:46 PM,3:50 AM
10.42.0.211-23.52.146.64-33393-443-6,Andorra,Andorra La Vella,42.5,1.52,Europe/Andorra,29-08-23 11:30,10.2,50.4,0,9.7,51,6,8.9,48,68,7:16 AM,8:34 PM,8:08 PM,4:38 AM
172.217.10.67-10.42.0.151-443-52315-6,Angola,Luanda,-8.84,13.23,Africa/Luanda,29-08-23 10:30,25,77,0,3.6,69,75,26.9,80.4,147.3,6:11 AM,6:06 PM,4:43 PM,4:41 AM
10.42.0.151-123.125.115.190-35010-80-6,Antigua and Barbuda,Saint John's,17.12,-61.85,America/Antigua,29-08-23 5:30,29,84.2,0,15.1,79,75,34,93.2,16.6,5:53 AM,6:23 PM,5:36 PM,4:09 AM
174.129.31.175-10.42.0.211-443-41085-6,Argentina,Buenos Aires,-34.59,-58.67,America/Argentina/Buenos_Aires,29-08-23 6:30,9,48.2,0,11.2,71,0,8,46.4,18.8,7:18 AM,6:34 PM,4:57 PM,6:32 AM
172.217.11.14-10.42.0.211-443-48510-6,Armenia,Yerevan,40.18,44.51,Asia/Yerevan,29-08-23 13:30,31,87.8,0,9,26,25,29,84.2,121.6,6:26 AM,7:39 PM,7:05 PM,3:45 AM
10.42.0.151-10.42.0.1-63501-53-17,Australia,Canberra,-35.28,149.22,Australia/Sydney,29-08-23 19:30,13,55.4,1,15.1,62,0,12.7,54.8,44,6:27 AM,5:42 PM,3:19 PM,5:17 AM
10.42.0.211-23.205.16.85-52452-80-6,Austria,Vienna,48.2,16.37,Europe/Vienna,29-08-23 11:30,16,60.8,1,19.1,82,75,16,60.8,30,6:07 AM,7:43 PM,7:27 PM,3:11 AM
172.217.10.106-10.42.0.151-443-33506-6,Azerbaijan,Baku,40.4,49.88,Asia/Baku,29-08-23 13:30,31,87.8,1,22,36,0,32.7,90.8,101.6,6:04 AM,7:18 PM,6:44 PM,3:21 AM
172.217.10.14-10.42.0.42-443-58558-6,Bahamas,Nassau,25.08,-77.35,America/Nassau,29-08-23 5:30,29.8,85.6,1,14.4,80,8,36.6,97.9,29.3,6:49 AM,7:32 PM,6:53 PM,4:58 AM
172.217.12.174-10.42.0.151-443-43434-6,Bahrain,Manama,26.24,50.58,Asia/Bahrain,29-08-23 12:30,38,100.4,1,13,54,0,47.8,118.1,254.6,5:16 AM,6:01 PM,5:07 PM,2:58 AM
172.217.7.163-10.42.0.211-443-40800-6,Bangladesh,Dhaka,23.72,90.41,Asia/Dhaka,29-08-23 15:30,34,93.2,1,5.4,52,70,39.6,103.3,45.8,5:39 AM,6:19 PM,5:18 PM,3:17 AM
239.255.255.250-10.42.0.1-1900-33895-17,Barbados,Bridgetown,13.1,-59.62,America/Barbados,29-08-23 5:30,27,80.6,1,25.9,89,25,30,86,17.7,5:47 AM,6:11 PM,5:20 PM,4:07 AM
10.42.0.211-123.59.190.251-45015-80-6,Belarus,Minsk,53.9,27.57,Europe/Minsk,29-08-23 12:30,22,71.6,0,11.2,61,0,24.4,76,94.4,6:12 AM,8:08 PM,8:06 PM,2:51 AM
10.42.0.211-10.42.0.1-63824-53-17,Belgium,Brussels,50.83,4.33,Europe/Brussels,29-08-23 11:30,16,60.8,1,6.1,82,25,16,60.8,40.8,6:51 AM,8:35 PM,8:26 PM,3:49 AM
172.217.10.42-10.42.0.151-443-56540-6,Belize,Belmopan,17.25,-88.77,America/Belize,29-08-23 3:30,23.6,74.5,0,6.8,95,70,26.1,79,6.6,5:41 AM,6:11 PM,5:28 PM,4:01 AM
205.185.216.42-10.42.0.211-80-49294-6,Benin,Porto-Novo,6.48,2.62,Africa/Porto-Novo,29-08-23 10:30,28,82.4,0,16.9,84,50,31,87.8,20.6,6:43 AM,6:58 PM,5:52 PM,4:59 AM
172.217.12.206-10.42.0.211-443-57217-6,Bhutan,Thimphu,27.48,89.6,Asia/Thimphu,29-08-23 15:30,17.1,62.8,0,8.6,75,83,17.1,62.8,47.2,5:39 AM,6:26 PM,5:29 PM,3:11 AM
10.42.0.151-10.42.0.1-50987-53-17,Bolivia,Sucre,-19.04,-65.26,America/La_Paz,29-08-23 5:30,10.8,51.4,0,3.6,38,0,11.2,52.2,41.5,6:31 AM,6:13 PM,4:55 PM,5:27 AM
172.217.10.74-10.42.0.151-443-33086-6,Bosnia and Herzegovina,Sarajevo,43.85,18.38,Europe/Sarajevo,29-08-23 11:30,23,73.4,0,29.9,47,50,24.6,76.3,85.8,6:06 AM,7:28 PM,7:03 PM,3:22 AM
10.42.0.151-10.42.0.1-26896-53-17,Botswana,Gaborone,-24.65,25.91,Africa/Gaborone,29-08-23 11:30,18.4,65.1,1,15.1,35,6,18.4,65.1,85.8,6:31 AM,6:04 PM,4:22 PM,5:20 AM
10.42.0.211-52.94.232.32-35482-443-6,Brazil,Bras,-2.08,-58.17,America/Manaus,29-08-23 5:30,23.8,74.8,1,5,54,8,25.2,77.4,19.5,5:52 AM,5:56 PM,4:51 PM,4:27 AM
203.205.147.229-10.42.0.151-80-50842-6,Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,Asia/Brunei,29-08-23 17:30,31,87.8,1,11.2,79,75,37.4,99.3,28.6,6:15 AM,6:28 PM,5:02 PM,4:12 AM
10.42.0.211-23.203.49.224-57177-443-6,Bulgaria,Sofia,42.68,23.32,Europe/Sofia,29-08-23 12:30,28,82.4,1,15.1,40,25,27.2,81,101.6,6:48 AM,8:07 PM,7:40 PM,4:05 AM
180.149.138.210-10.42.0.211-80-37279-6,Burkina Faso,Ouagadougou,12.37,-1.52,Africa/Ouagadougou,29-08-23 9:30,28,82.4,1,6.8,79,25,30.2,86.3,18.2,5:55 AM,6:18 PM,5:18 PM,4:05 AM
172.217.12.206-10.42.0.211-443-60291-6,Burundi,Bujumbura,-3.38,29.36,Africa/Bujumbura,29-08-23 11:30,28.9,84,1,16.9,34,25,28.2,82.8,64.4,6:03 AM,6:05 PM,4:44 PM,4:24 AM
10.42.0.211-10.42.0.1-57260-53-17,Madagascar,Ivory,-24.37,46.45,Indian/Antananarivo,29-08-23 12:30,22.9,73.2,1,10.1,35,0,24,75.2,63.7,6:09 AM,5:42 PM,3:57 PM,4:54 AM
10.42.0.42-103.235.46.212-48455-80-6,Cape Verde,Praia,14.93,-23.51,Atlantic/Cape_Verde,29-08-23 8:30,28,82.4,0,15.1,74,25,31.6,88.8,52.2,6:21 AM,6:48 PM,5:54 PM,4:32 AM
174.36.210.49-10.42.0.211-443-54136-6,Cambodia,Phnom Penh,11.55,104.92,Asia/Phnom_Penh,29-08-23 16:30,30,86,1,11.2,75,75,30.3,86.5,24,5:50 AM,6:12 PM,4:55 PM,3:42 AM
202.77.129.230-10.42.0.211-80-37702-6,Cameroon,Bafoussam,5.47,10.42,Africa/Douala,29-08-23 10:30,23.9,75,0,3.6,78,89,25.8,78.4,9.1,6:12 AM,6:26 PM,5:18 PM,4:28 AM
10.42.0.211-10.42.0.1-3332-53-17,Canada,Ottawa,45.42,-75.7,America/Toronto,29-08-23 5:30,11,51.8,1,6.8,100,0,11.4,52.4,17.7,6:20 AM,7:46 PM,7:33 PM,3:54 AM
10.42.0.211-50.18.174.184-55221-443-6,Central African Republic,Bangui,4.37,18.58,Africa/Bangui,29-08-23 10:30,26.3,79.3,1,3.6,80,39,29,84.2,1,5:41 AM,5:53 PM,4:42 PM,3:56 AM
172.217.12.174-10.42.0.151-443-49488-6,Chad,N'djamena,12.11,15.05,Africa/Douala,29-08-23 10:30,32,89.6,1,19.1,67,0,38.7,101.6,20.2,5:49 AM,6:12 PM,5:09 PM,3:56 AM
10.42.0.1-10.42.0.42-53-20213-17,Chile,Santiago,-33.45,-70.67,America/Santiago,29-08-23 5:30,5,41,0,6.1,87,0,3.6,38.4,0,7:05 AM,6:23 PM,4:50 PM,6:19 AM
10.42.0.211-106.11.94.27-40316-443-6,China,Beijing,39.93,116.39,Asia/Shanghai,29-08-23 17:30,28,82.4,1,6.8,37,0,28.2,82.7,140.2,5:39 AM,6:52 PM,6:09 PM,2:41 AM
172.217.6.234-10.42.0.42-443-53609-6,Bulgaria,Bogot,43.32,24.7,Europe/Sofia,29-08-23 12:30,36.4,97.5,1,11.9,17,4,35,95,97.3,6:41 AM,8:02 PM,7:36 PM,3:57 AM
10.42.0.211-52.179.153.195-40898-443-6,Comoros,Moroni,-11.7,43.24,Indian/Comoro,29-08-23 12:30,24,75.2,0,24.1,83,75,26,78.8,67.2,6:12 AM,6:04 PM,4:33 PM,4:42 AM
10.42.0.151-10.42.0.1-48010-53-17,Congo,Brazzaville,-4.26,15.28,Africa/Brazzaville,29-08-23 10:30,31.1,88,1,9,51,62,33.4,92.1,38.6,5:59 AM,6:00 PM,4:42 PM,4:25 AM
10.42.0.151-123.125.115.164-34601-443-6,Costa Rica,San Juan,9.97,-84.08,America/Costa_Rica,29-08-23 3:30,21,69.8,0,6.1,94,0,21,69.8,0,5:28 AM,5:47 PM,4:57 PM,3:55 AM
172.217.11.2-10.42.0.211-443-34918-6,Croatia,Zagreb,45.8,16,Europe/Zagreb,29-08-23 11:30,23,73.4,1,3.6,69,25,24.8,76.7,83.7,6:13 AM,7:41 PM,7:19 PM,3:24 AM
174.35.73.135-10.42.0.211-80-41771-6,Cuba,Havana,23.13,-82.36,America/Havana,29-08-23 5:30,26,78.8,1,15.1,100,75,28.9,84,24.3,7:11 AM,7:50 PM,7:11 PM,5:23 AM
10.42.0.151-10.42.0.1-44907-53-17,Cyprus,Nicosia,35.17,33.37,Asia/Nicosia,29-08-23 12:30,35,95,1,11.2,35,25,37.1,98.8,110.2,6:16 AM,7:18 PM,6:38 PM,3:47 AM
169.47.42.121-10.42.0.211-5222-55769-6,Czech Republic,Prague,50.08,14.47,Europe/Prague,29-08-23 11:30,13,55.4,1,9,94,100,12.5,54.5,53.6,6:12 AM,7:54 PM,7:42 PM,3:10 AM
180.149.134.221-10.42.0.42-80-59911-6,Democratic Republic of Congo,Kinshasa,-4.3,15.3,Africa/Brazzaville,29-08-23 10:30,31.1,88,1,9,50,60,33.4,92.1,38.6,5:59 AM,6:00 PM,4:42 PM,4:25 AM
216.58.219.195-10.42.0.42-443-38330-6,Denmark,Copenhagen,55.67,12.58,Europe/Copenhagen,29-08-23 11:30,17,62.6,1,6.8,72,0,17,62.6,61.5,6:08 AM,8:12 PM,8:16 PM,2:42 AM
220.243.219.55-10.42.0.211-80-58239-6,Djibouti,Djibouti,11.6,43.15,Africa/Djibouti,29-08-23 12:30,42,107.6,1,15.1,29,25,59.1,138.3,61.5,5:57 AM,6:19 PM,5:12 PM,4:00 AM
10.42.0.151-10.42.0.1-61678-53-17,Dominica,Roseau,15.3,-61.4,America/Dominica,29-08-23 5:30,28.2,82.8,1,19.8,79,62,32.6,90.7,18.8,5:53 AM,6:20 PM,5:31 PM,4:10 AM
10.42.0.211-59.38.112.48-59520-443-6,Dominican Republic,Santo Domingo,18.47,-69.9,America/Santo_Domingo,29-08-23 5:30,26,78.8,0,6.8,94,25,30.6,87.1,0,6:24 AM,6:56 PM,6:11 PM,4:40 AM
172.217.11.14-10.42.0.211-443-33680-6,Ecuador,Quito,-0.22,-78.5,America/Guayaquil,29-08-23 4:30,8.9,48,1,6.8,62,6,8,46.4,0,6:12 AM,6:18 PM,5:19 PM,4:48 AM
10.42.0.151-98.139.199.204-36905-443-6,Egypt,Cairo,30.05,31.25,Africa/Cairo,29-08-23 12:30,31,87.8,1,19.1,46,50,34.3,93.7,44,6:30 AM,7:22 PM,6:35 PM,4:10 AM
192.229.173.173-10.42.0.211-443-44347-6,El Salvador,San Salvador,13.71,-89.2,America/El_Salvador,29-08-23 3:30,26,78.8,1,6.8,94,50,30.2,86.4,3.9,5:45 AM,6:10 PM,5:24 PM,4:09 AM
10.42.0.151-64.71.142.124-36135-443-6,Equatorial Guinea,Malabo,3.75,8.78,Africa/Malabo,29-08-23 10:30,25.9,78.6,0,8.6,81,87,28.6,83.5,34.3,6:20 AM,6:31 PM,5:22 PM,4:38 AM
172.217.6.227-10.42.0.151-443-58519-6,Eritrea,Asmara,15.33,38.93,Africa/Asmara,29-08-23 12:30,25.1,77.2,1,17.3,34,87,25,77,37.9,6:11 AM,6:39 PM,5:35 PM,4:10 AM
10.42.0.1-10.42.0.42-53-16933-17,Estonia,Tallinn,59.43,24.73,Europe/Tallinn,29-08-23 12:30,19,66.2,1,16.9,73,50,19,66.2,103,6:09 AM,8:33 PM,8:51 PM,2:15 AM
10.42.0.42-23.101.156.198-42150-443-6,Swaziland,Mbabane,-26.32,31.13,Africa/Mbabane,29-08-23 11:30,20,68,1,3.6,49,0,20,68,46.5,6:12 AM,5:42 PM,3:57 PM,5:02 AM
202.77.129.150-10.42.0.211-443-35365-6,Ethiopia,Addis Ababa,9.03,38.7,Africa/Addis_Ababa,29-08-23 12:30,17,62.6,1,13,83,50,17,62.6,33.3,6:17 AM,6:35 PM,5:26 PM,4:23 AM
172.217.12.142-10.42.0.151-443-49138-6,Fiji Islands,Suva,-18.13,178.42,Pacific/Fiji,29-08-23 21:30,24,75.2,1,13,78,75,25.9,78.7,61.5,6:17 AM,5:59 PM,3:56 PM,4:33 AM
184.73.243.250-10.42.0.211-443-57260-6,Finland,Helsinki,60.18,24.93,Europe/Helsinki,29-08-23 12:30,20,68,1,19.1,64,50,20,68,70.8,6:06 AM,8:34 PM,8:56 PM,2:06 AM
10.42.0.211-104.88.89.135-40911-443-6,France,Paris,48.87,2.33,Europe/Paris,29-08-23 11:30,18,64.4,1,11.2,64,25,18,64.4,70.1,7:03 AM,8:40 PM,8:26 PM,4:07 AM
219.142.78.162-10.42.0.211-443-59395-6,Gabon,Libreville,0.38,9.45,Africa/Libreville,29-08-23 10:30,27,80.6,1,8.3,74,56,29.6,85.3,26.1,6:19 AM,6:27 PM,5:14 PM,4:41 AM
10.42.0.211-98.139.199.204-37891-443-6,Gambia,Banjul,13.45,-16.58,Africa/Banjul,29-08-23 9:30,27,80.6,1,15.1,94,75,30.4,86.7,35.4,6:55 AM,7:20 PM,6:22 PM,5:06 AM
10.42.0.211-10.42.0.1-54343-53-17,Georgia,Tbilisi,41.73,44.79,Asia/Tbilisi,29-08-23 13:30,30,86,1,13,43,0,30.2,86.3,78,6:23 AM,7:40 PM,7:09 PM,3:38 AM
10.42.0.211-121.12.98.62-47808-80-6,Germany,Berlin,52.52,13.4,Europe/Berlin,29-08-23 11:30,16,60.8,1,15.1,82,75,16,60.8,52.9,6:11 AM,8:02 PM,7:56 PM,3:01 AM
10.42.0.211-119.146.74.34-52903-80-6,Ghana,Accra,5.55,-0.22,Africa/Accra,29-08-23 9:30,26,78.8,1,11.2,89,100,28.4,83.1,17.9,5:55 AM,6:09 PM,5:02 PM,4:12 AM
183.79.250.123-10.42.0.211-443-33999-6,Greece,Athens,37.98,23.72,Europe/Athens,29-08-23 12:30,32,89.6,1,11.2,26,25,32.3,90.1,177.4,6:52 AM,8:00 PM,7:25 PM,4:19 AM
203.205.151.47-10.42.0.151-80-35400-6,Grenada,Saint George's,12.05,-61.75,America/Grenada,29-08-23 5:30,26,78.8,1,20.2,94,50,28.6,83.5,17.4,5:57 AM,6:19 PM,5:28 PM,4:17 AM
10.42.0.151-54.243.94.115-37027-443-6,Guatemala,Guatemala City,14.62,-90.53,America/Guatemala,29-08-23 3:30,17,62.6,1,3.6,96,57,17,62.6,1.1,5:50 AM,6:16 PM,5:31 PM,4:13 AM
151.101.1.140-10.42.0.211-443-44570-6,Guinea,Conakry,9.51,-13.71,Africa/Conakry,29-08-23 9:30,25,77,1,6.8,100,75,27.2,81,27.9,6:46 AM,7:06 PM,6:04 PM,5:01 AM
172.217.12.142-10.42.0.151-443-43672-6,Guinea-Bissau,Bissau,11.85,-15.58,Africa/Bissau,29-08-23 9:30,28,82.4,1,11.2,84,50,32.3,90.1,15.7,6:52 AM,7:15 PM,6:15 PM,5:05 AM
10.42.0.211-10.42.0.1-52775-53-17,Guyana,Georgetown,6.8,-58.17,America/Guyana,29-08-23 5:30,24,75.2,1,3.6,100,75,26.3,79.4,13.6,5:46 AM,6:01 PM,5:05 PM,4:12 AM
10.42.0.151-58.220.11.230-51565-80-6,Haiti,Port-Au-Prince,18.54,-72.34,America/Port-au-Prince,29-08-23 5:30,27,80.6,1,15.1,89,0,32.1,89.8,27.2,6:34 AM,7:06 PM,6:21 PM,4:50 AM
10.42.0.211-23.208.218.4-57725-443-6,Vatican City,Vatican City,41.9,12.45,Europe/Rome,29-08-23 11:30,21,69.8,1,3.6,88,50,21,69.8,70.8,6:32 AM,7:50 PM,7:22 PM,3:54 AM
10.42.0.211-10.42.0.1-60699-53-17,Honduras,Tegucigalpa,14.1,-87.22,America/Tegucigalpa,29-08-23 3:30,21,69.8,1,6.1,88,75,21,69.8,16.5,5:37 AM,6:02 PM,5:16 PM,4:00 AM
172.217.6.206-10.42.0.151-443-48758-6,Hungary,Budapest,47.5,19.08,Europe/Budapest,29-08-23 11:30,20,68,1,11.2,88,75,20,68,83,5:58 AM,7:31 PM,7:13 PM,3:03 AM
10.42.0.211-64.71.142.125-37520-443-6,Iceland,Hella,63.83,-20.4,Atlantic/Reykjavik,29-08-23 9:30,11,51.8,1,6.8,82,0,10.5,50.9,45.1,5:56 AM,8:48 PM,9:30 PM,1:26 AM
10.42.0.211-10.42.0.1-12769-53-17,India,New Delhi,28.6,77.2,Asia/Kolkata,29-08-23 15:00,34,93.2,1,6.8,50,50,33.4,92.2,95.8,5:58 AM,6:46 PM,5:52 PM,3:31 AM
239.255.255.250-10.42.0.1-1900-50877-17,Indonesia,Jakarta,-6.21,106.85,Asia/Jakarta,29-08-23 16:30,31,87.8,1,25.9,63,25,33.2,91.7,191.7,5:55 AM,5:53 PM,4:16 PM,4:07 AM
174.35.73.97-10.42.0.211-80-54350-6,Iran,Tehran,35.73,51.33,Asia/Tehran,29-08-23 13:00,33,91.4,1,15.1,15,25,30.9,87.5,135.9,5:34 AM,6:37 PM,5:55 PM,3:00 AM
10.42.0.211-125.39.133.40-50444-80-6,Iraq,Baghdad,33.34,44.39,Asia/Baghdad,29-08-23 12:30,37,98.6,1,11.2,24,0,35.7,96.3,186,5:35 AM,6:32 PM,5:48 PM,3:06 AM
169.45.210.72-10.42.0.151-443-49893-6,Ireland,Dublin,53.33,-6.25,Europe/Dublin,29-08-23 10:30,14,57.2,1,22,88,75,12.6,54.6,56.5,6:28 AM,8:22 PM,8:20 PM,3:20 AM
10.42.0.151-31.13.80.37-59434-443-6,Israel,Jerusalem,31.78,35.23,Asia/Jerusalem,29-08-23 12:30,30,86,1,20.2,62,50,32.4,90.3,144.5,6:12 AM,7:07 PM,6:22 PM,3:49 AM
239.255.255.250-10.42.0.151-1900-59579-17,Italy,Rome,41.9,12.48,Europe/Rome,29-08-23 11:30,21,69.8,1,3.6,88,50,21,69.8,70.8,6:32 AM,7:49 PM,7:22 PM,3:54 AM
203.205.158.53-10.42.0.151-80-38446-6,Jamaica,Norman Gardens,17.97,-76.75,America/Jamaica,29-08-23 4:30,30,86,1,22,84,25,42.7,108.8,14.5,5:52 AM,6:23 PM,5:39 PM,4:09 AM
10.42.0.42-52.179.189.71-56644-443-6,Japan,Tokyo,35.69,139.69,Asia/Tokyo,29-08-23 18:30,32,89.6,1,15.1,59,25,37.9,100.3,37.6,5:11 AM,6:14 PM,5:22 PM,2:17 AM
10.42.0.151-31.13.80.5-52267-443-6,Jordan,Amman,31.95,35.93,Asia/Amman,29-08-23 12:30,27,80.6,1,19.1,51,50,27.2,81,131.6,6:09 AM,7:05 PM,6:19 PM,3:45 AM
10.42.0.211-52.84.37.117-57337-443-6,Kazakhstan,Astana,51.18,71.43,Asia/Almaty,29-08-23 15:30,22,71.6,0,31,29,37,23.5,74.3,73.7,6:22 AM,8:08 PM,7:54 PM,3:01 AM
10.42.0.211-63.251.88.56-34725-443-6,Kenya,Nairobi,-1.28,36.82,Africa/Nairobi,29-08-23 12:30,21,69.8,0,16.9,43,75,21,69.8,63.7,6:31 AM,6:36 PM,5:17 PM,4:50 AM
10.42.0.211-121.12.98.62-47809-80-6,Kiribati,Tarawa,-0.88,169.53,Pacific/Tarawa,29-08-23 21:30,28.9,84,0,16.6,77,51,33.7,92.7,12.7,6:40 AM,6:46 PM,5:04 PM,4:35 AM
10.42.0.211-10.42.0.1-17531-53-17,Kuwait,Kuwait City,29.37,47.96,Asia/Kuwait,29-08-23 12:30,39.6,103.3,1,3.6,23,0,40.3,104.5,181.7,5:24 AM,6:14 PM,5:25 PM,3:01 AM
10.42.0.211-31.13.67.16-36721-443-6,Kyrghyzstan,Bishkek,42.87,74.6,Asia/Bishkek,29-08-23 15:30,27.4,81.3,1,9.7,20,19,25.6,78.1,104.4,6:22 AM,7:43 PM,7:10 PM,3:28 AM
10.42.0.211-122.225.81.61-49429-80-6,Indonesia,Laos,-8.18,114.32,Asia/Jakarta,29-08-23 16:30,27.9,82.2,1,12.2,60,4,29.6,85.3,73.7,5:26 AM,5:22 PM,3:42 PM,3:40 AM
10.42.0.211-77.234.44.42-41658-80-6,Latvia,Riga,56.95,24.1,Europe/Riga,29-08-23 12:30,16,60.8,0,9,94,0,16,60.8,70.8,6:19 AM,8:29 PM,8:37 PM,2:42 AM
10.42.0.211-10.42.0.1-26521-53-17,Lebanon,Beirut,33.87,35.51,Asia/Beirut,29-08-23 12:45,30,86,0,24.1,62,75,34,93.2,108.7,6:09 AM,7:08 PM,6:26 PM,3:42 AM
10.42.0.211-10.42.0.1-42051-53-17,Lesotho,Maseru,-29.32,27.48,Africa/Johannesburg,29-08-23 11:45,18.9,66,1,4.3,15,0,18.9,66,94.4,6:29 AM,5:54 PM,4:06 PM,5:24 AM
10.42.0.42-103.7.30.118-38502-80-6,Liberia,Monrovia,6.31,-10.8,Africa/Monrovia,29-08-23 9:45,25,77,0,3.6,94,75,27,80.6,44,6:36 AM,6:52 PM,5:47 PM,4:55 AM
10.42.0.151-59.38.112.48-51076-80-6,Thailand,Nan,18.78,100.78,Asia/Bangkok,29-08-23 16:45,33,91.4,1,3.6,63,25,51.4,124.6,29,6:01 AM,6:34 PM,5:25 PM,3:44 AM
10.42.0.211-10.42.0.1-63377-53-17,Liechtenstein,Vaduz,47.13,9.52,Europe/Vaduz,29-08-23 11:45,12,53.6,0,6.8,100,75,12.5,54.4,36.1,6:36 AM,8:08 PM,7:51 PM,3:45 AM
10.42.0.211-77.234.44.200-33520-80-6,Lithuania,Vilnius,54.68,25.32,Europe/Vilnius,29-08-23 12:30,17,62.6,0,13,94,75,17,62.6,90.8,6:19 AM,8:19 PM,8:19 PM,2:55 AM
202.77.129.150-10.42.0.42-443-47760-6,Luxembourg,Luxembourg,49.61,6.13,Europe/Luxembourg,29-08-23 11:45,16,60.8,1,11.2,77,25,16,60.8,61.5,6:46 AM,8:26 PM,8:13 PM,3:48 AM
192.229.173.173-10.42.0.211-443-56517-6,Madagascar,Antananarivo,-18.92,47.52,Indian/Antananarivo,29-08-23 12:45,21,69.8,1,24.1,56,75,21,69.8,57.9,6:01 AM,5:42 PM,4:02 PM,4:38 AM
8.43.72.77-10.42.0.211-443-50370-6,Malawi,Lilongwe,-13.98,33.78,Africa/Blantyre,29-08-23 11:45,18,64.4,0,19.1,88,25,18,64.4,60.8,5:52 AM,5:40 PM,4:09 PM,4:25 AM
10.42.0.211-64.71.142.124-40376-80-6,Malaysia,Kuala Lumpur,3.17,101.7,Asia/Kuala_Lumpur,29-08-23 17:45,27,80.6,1,3.6,89,25,29.4,84.9,29.3,7:09 AM,7:20 PM,5:54 PM,5:11 AM
209.10.120.26-10.42.0.211-80-41949-6,Maldives,Farukolhufunadhoo,6.15,73.27,Indian/Maldives,29-08-23 14:30,25.3,77.5,0,42.8,87,100,28.1,82.6,39,6:01 AM,6:15 PM,4:57 PM,4:04 AM
202.77.129.150-10.42.0.151-80-39300-6,Mali,Bamako,12.65,-8,Africa/Bamako,29-08-23 9:45,23,73.4,0,13,100,25,25.1,77.3,9.8,6:21 AM,6:45 PM,5:46 PM,4:31 AM
10.42.0.151-121.12.98.62-47653-80-6,Malta,Valletta,35.9,14.51,Europe/Malta,29-08-23 11:30,28,82.4,1,20.2,42,25,29.3,84.7,83,6:31 AM,7:34 PM,6:57 PM,4:04 AM
10.42.0.211-104.192.110.245-33394-80-6,Marshall Islands,Majuro,7.1,171.38,Pacific/Majuro,29-08-23 21:45,29,84.2,1,11.2,75,100,33.8,92.8,27.9,6:27 AM,6:44 PM,5:11 PM,4:12 AM
172.217.11.10-10.42.0.211-443-52657-6,Mauritania,Nouakchott,18.09,-15.98,Africa/Nouakchott,29-08-23 9:45,28.6,83.5,1,19.8,70,11,32,89.6,38.6,6:49 AM,7:21 PM,6:27 PM,4:55 AM
172.217.6.232-10.42.0.211-443-50437-6,Mauritius,Port Louis,-20.16,57.5,Indian/Mauritius,29-08-23 13:30,26,78.8,1,15.1,70,75,27.1,80.8,66.5,6:21 AM,6:01 PM,4:18 PM,4:59 AM
10.42.0.151-98.139.180.149-58152-443-6,Mexico,Mexico City,19.43,-99.13,America/Mexico_City,29-08-23 3:45,16,60.8,1,11.2,77,50,16,60.8,0.4,6:20 AM,6:54 PM,6:14 PM,4:40 AM
10.42.0.211-23.23.129.231-47746-443-6,Micronesia,Palikir,6.92,158.15,Pacific/Pohnpei,29-08-23 20:45,26,78.8,1,6.1,100,100,28.1,82.5,10,6:20 AM,6:36 PM,5:05 PM,4:08 AM
10.42.0.211-115.239.210.141-51792-80-6,Russia,Chi-Chi-Erh,51.7,94.45,Asia/Krasnoyarsk,29-08-23 16:45,36.5,97.7,0,20.5,12,98,35.1,95.2,94.4,5:49 AM,7:37 PM,7:23 PM,2:20 AM
10.42.0.211-10.42.0.1-22262-53-17,Monaco,Monaco,43.73,7.42,Europe/Monaco,29-08-23 11:45,22,71.6,0,20.2,73,50,24.5,76.1,70.8,6:50 AM,8:12 PM,7:48 PM,4:08 AM
172.217.3.110-10.42.0.151-443-41677-6,Mongolia,Ulaanbaatar,47.92,106.92,Asia/Ulaanbaatar,29-08-23 17:30,26,78.8,1,11.2,32,25,29,84.2,14,6:05 AM,7:41 PM,7:16 PM,2:48 AM
10.42.0.211-77.234.44.201-56532-80-6,Montenegro,Podgorica,42.44,19.26,Europe/Podgorica,29-08-23 11:45,25,77,0,3.6,65,50,26.3,79.3,105.9,6:04 AM,7:23 PM,6:55 PM,3:23 AM
172.217.10.10-10.42.0.151-443-52315-6,Morocco,Rabat,34.03,-6.84,Africa/Casablanca,29-08-23 10:30,24,75.2,1,11.2,78,0,25.6,78.1,85.8,6:59 AM,7:58 PM,7:21 PM,4:40 AM
203.205.147.229-10.42.0.151-80-34427-6,Mozambique,Maputo,-25.97,32.59,Africa/Maputo,29-08-23 11:45,21,69.8,1,16.9,64,75,21,69.8,67.2,6:06 AM,5:36 PM,3:52 PM,4:55 AM
